id,date,tlt,ud,pmt,wp,a,p,q,oee,rate,wf,uf,rework,give,line,unit,std,chk,Remark,waste_film_remark,waste_pellet_remark
35917,2023-05-16,12,0,13240,0,100,91.94,100,91.94,27.58,2.1,1262,0,25.115,B,PP3,30,0,,,
35918,2023-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,C,PPE,30,0,Plant S/D,,
35919,2023-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,D,PPE,30,0,Plant S/D,,
35920,2023-05-17,4,0,6498,0,100,90.25,100,90.25,40.61,0.6,920,0,25.117,A,PP12,45,1,,,
35921,2023-05-17,0,0,0,0,0,0,0,0,0,0,0,0,25.11,A,PPC,30,1,,,
35922,2023-05-17,3.75,0,4000,0,100,88.89,100,88.89,26.67,0.2,426,0,25.115,C,PP12,30,1,,,
35923,2023-05-17,15.83,6,6240,0.525,62.1,52.9,99.66,32.74,15.87,16.02,669,0,25.115,A,PP3,30,0,"14.00-17.00  MI แก้ไขครื่องยังคงทิ้งถุงอยู่เดินเครื่อง Rate ต่ำ
18.00-21.00 MI แก้ไขติดกาวชุด cutter เพื่อให้ clamp จับถุงได้แน่น
22.00 - 01.00  MI เข้ามาแก้ไข อาการปล่อยถุงเปล่าและเม็ด",รอยต่อและปล่อยถุงเปล่า,
35924,2023-05-17,16.67,2,16141,0,88,91.69,100,80.69,27.51,2.78,1585,0,25.115,B,PP3,30,0,"Bagging B	12.00-14.00  เส้นลวดด้านซ้ายของขุด Bottom seal ขาด แต่ไม่มีของเปลี่ยนจึงออก Noti. 10794143 ไว้ให้ MI แก้ไข",รอยต่อ,
35925,2023-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,C,PPE,30,0,S/D,,
35926,2023-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,D,PPE,30,0,S/D,,
35927,2023-05-18,4,0,4340,0,100,90.42,100,90.42,27.12,0.5,385,0,25.116,C,PP12,30,1,,,
35928,2023-05-18,4.33,0,4654,0,100,89.57,100,89.57,26.87,0.6,458,0,25.119,A,PPC,30,1,,,
35929,2023-05-18,0.58,0,955,0,100,91.48,100,91.48,41.16,0,96,0,25.12,A,PP12,45,1,,,
35930,2023-05-19,11,0,11729,0,100,88.86,100,88.86,26.66,2,1168,0,25.115,C,PP12,30,1,,,
35931,2023-05-18,5.83,0,6000,0.05,100,85.76,99.97,85.73,25.73,0.9,740,0,25.114,A,PP3,30,0,,รอยต่อ,
35932,2023-05-18,11.83,0,12830,0,100,90.38,100,90.38,27.11,1.7,1241,0,25.114,B,PP3,30,0,,รอยต่อ,
35933,2023-05-18,0.83,0,960,0,100,96.39,100,96.39,28.92,0.2,97,0,25.115,C,PPE,30,0,,รอยต่อ,
35934,2023-05-18,0.92,0,1048,0,100,94.93,100,94.93,28.48,0,98,0,25.115,D,PPE,30,0,,,
35935,2023-05-19,4.75,0,7781,0,100,91.01,100,91.01,40.95,0.6,779,0,25.119,A,PP12,45,1,,,
35936,2023-05-19,7.33,0,7400,0.1,100,84.13,99.95,84.09,25.24,1.7,774,0,25.115,A,PP3,30,1,,,Sucker ดูดปากถุงไม่ได้
35937,2023-05-19,7.5,0,7000,0,100,77.78,100,77.78,23.33,0,715,0,25.115,B,PP3,30,1,17.30-18.00 เส้นลวดด้านขวาของขุด Bottom seal ขาด แก้ไขเปลี่ยนของใหม่ 20.00-20.30 Temp bottom seal swing หยุดตรวจเช็คและขันยึดสายไฟใหม่,,
35938,2023-05-19,8.87,0,9877,0,100,92.79,100,92.79,27.84,1,1071,0,25.116,D,PPE,30,1,,,
35939,2023-05-19,8.92,0,9840,0,100,91.93,100,91.93,27.58,0.8,1104,0,25.116,C,PPE,30,1,,,
35940,2023-05-20,11.58,0,12236,0,100,88.05,100,88.05,26.42,1.5,1185,0,25.114,C,PP12,30,1,,,
35941,2023-05-20,8.92,3,9615,0,66.37,90.23,100,59.89,40.6,1.3,966,0,25.119,A,PP12,45,1,boltยึดsuportสายพานชุดlayor feederขาด,,
35942,2023-05-21,10.83,0,11598,0,100,89.24,100,89.24,26.77,1.4,1139,0,25.115,C,PP12,30,1,,,
35943,2023-05-20,1.58,0,1800,0,100,94.94,100,94.94,28.48,0.2,170,0,25.11,A,HDPE,30,0,,,
35944,2023-05-20,5.25,0,5040,0.1,100,80,99.92,79.94,24,0.9,533,0,25.115,A,PP3,30,1,Sucker ดูดปากถุงไม่ได้,,
35945,2023-05-20,5.75,0,5920,0.1,100,85.8,99.93,85.74,25.74,0.6,580,0,25.115,B,PP3,30,1,,,
35946,2023-05-20,3.25,0,3480,0,100,89.23,100,89.23,26.77,0.2,342,0,25.115,C,PPE,30,1,,,
35947,2023-05-20,3.25,0,3443,0,100,88.28,100,88.28,26.48,0,347,0,25.115,D,PPE,30,1,,,
35948,2023-05-21,5.83,1,7714,0,82.85,88.73,100,73.51,39.93,1,769,0,25.12,A,PP12,45,1,D32 Motor protection Pallet pac top overload,,
35949,2023-05-21,14.91,0,16426,0.01,100,91.81,100,91.81,27.54,2,1615,0.75,25.115,A,HDPE,30,0,,,
